complex_id	complex_name	synonyms	organism	cell_line	pmid	comment_complex	comment_members	comment_disease	comment_drug	comment_drug_formal	subunits_uniprot_id	subunits_gene_name	subunits_gene_name_synonyms	subunits_protein_name	subunits_proteinname_synonyms	subunits_organism	subunits_drugs	subunits_mims	subunits_stoechiometrie	purification_methods	functions_evi	functions_pmid	functions_go_id	functions_go_name	functions_go_ontology	fcgs_description	fcgs_id	fcgs_name	fcgs_category_id	fcgs_category_name	fcgs_go_id	fcgs_go_name	fcgs_go_ontology
6864	CBX3-EHMT1-NR3C1 complex	HP1-gamma-GLP-GR complex	Human	Cos cells	28615290	GLP methylation (K205) is required for HP1-gamma-GLP-GR complex formation. GLP phosphorylation (T206) by Aurora kinase B in cells prevents HP1-gamma recognition.			Using luciferase reporter gene experiments and RT-PCR experiments, it was shown that dexamethasone increases the activity of the CBX3-EHMT1-NR3C1 complex (PMID: 28615290).	[NR3C1; CBX3-EHMT1-NR3C1 complex; 6864; dexamethasone; activates; complex activity; 28615290]	Q13185;Q9H9B1;P04150	CBX3;EHMT1;NR3C1	;EUHMTASE1,GLP,KIAA1876,KMT1D;GRL	Chromobox protein homolog 3;Histone-lysine N-methyltransferase EHMT1;Glucocorticoid receptor	HP1 gamma;Eu-HMTase1;GR	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	amcinonide;beclometasone dipropionate;betamethasone;betamethasone acetate;betamethasone benzoate;betamethasone dipropionate;betamethasone valerate;budesonide;ciclesonide;cortisone acetate;cortivazol;desoximetasone;dexamethasone;dexamethasone acetate;flumetasone pivalate;flunisolide;fluocinolone acetonide;fluocinonide;fluorometholone;fluprednisolone;fludroxycortide;fluticasone propionate;ulobetasol propionate;halopredone acetate;hydrocortamate;hydrocortisone;hydrocortisone cypionate;loteprednol etabonate;medrysone;meprednisone;methylprednisolone;methylprednisolone acetate;methylprednisolone succinate;mifepristone;mometasone furoate;prednicarbate;prednisolone;prednisolone acetate;prednisolone tebutate;prednisone;rimexolone;triamcinolone;triamcinolone acetonide;triamcinolone diacetate;desonide;difluprednate;clobetasone butyrate;dexamethasone phosphate;hydrocortisone butyrate;hydrocortisone acetate;prednisolone sodium phosphate;clobetasol propionate;hydrocortisone succinate;diflorasone diacetate;alclometasone dipropionate;hydrocortisone valerate;halcinonide;fluticasone furoate;hydrocortisone probutate;clocortolone pivalate;fluorometholone acetate;betamethasone phosphate;triamcinolone hexacetonide	610253;615962	;;	MI:0019:coimmunoprecipitation	pred;exp;exp	28615290;28615290;28615290	GO:0005634;GO:0045893;GO:0071385	nucleus;positive regulation of DNA-templated transcription;cellular response to glucocorticoid stimulus	cellular_component;biological_process;biological_process		17	Nuclear hormone receptors	6	Signaling molecules and interaction	GO:0032870	cellular response to hormone stimulus	biological_process
6866	AMFR-ERLIN2-TMUB1 complex	GP78-SPFH2-TMUB1 complex	Human	HEK-293 cells and CHO-7 cells	21343306						Q9UKV5;O94905;Q9BVT8	AMFR;ERLIN2;TMUB1	RNF45;C8orf2,SPFH2;C7orf21,DULP,HOPS	E3 ubiquitin-protein ligase AMFR;Erlin-2;Transmembrane and ubiquitin-like domain-containing protein 1	AMF receptor, isoform 2;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		620379;611225;620512	;;	MI:0007:anti tag coimmunoprecipitation	lit;exp	21343306;21343306	GO:0005783;GO:0036503	endoplasmic reticulum;ERAD pathway	cellular_component;biological_process								
6871	AMFR-STING-INSIG1 complex, herpes simplex virus 1 induced		Human	HEK 293T cells, MEFs (mouse embryonic fibroblasts)	25526307	AMFR catalyzed the formation of the K27-linked polyubiquitin chains on STING. INSIG1 bridges AMFR and STING in the intracellular DNA-induced signaling.					Q9UKV5;O15503;Q86WV6	AMFR;INSIG1;STING1	RNF45;;ERIS,MITA,STING,TMEM173	E3 ubiquitin-protein ligase AMFR;Insulin-induced gene 1 protein;Stimulator of interferon genes protein	AMF receptor, isoform 2;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		620379;615934	;;	MI:0019:coimmunoprecipitation	exp;exp;exp	25526307;25526307;25526307	GO:0016567;GO:0036503;GO:0045087	protein ubiquitination;ERAD pathway;innate immune response	biological_process;biological_process;biological_process								
6873	AMFR-BAG6-FAF2 complex	Bag6-gp78-UbxD8 complex	Human	HEK 293 cells	23665563	UbxD8 and gp78 were simultaneously present in a Bag6-containing complex. This observation would only be possible if Bag6 forms an oligomer that simultaneously interacts with these factors .					Q9UKV5;P46379;Q96CS3	AMFR;BAG6;FAF2	RNF45;BAT3,G3;ETEA,KIAA0887,UBXD8,UBXN3B	E3 ubiquitin-protein ligase AMFR;Large proline-rich protein BAG6;FAS-associated factor 2	AMF receptor, isoform 2;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		620379	;;	MI:0007:anti tag coimmunoprecipitation	exp;lit;lit	23665563;23665563;23665563	GO:0005789;GO:0030163;GO:0036503	endoplasmic reticulum membrane;protein catabolic process;ERAD pathway	cellular_component;biological_process;biological_process								
6875	CRBN-DDB1-CUL4A-RBX1 E3 ubiquitin ligase	CRBN-DDB1-CUL4A-ROC1 E3 ubiquitin ligase	Human	HeLa cells, HEK 293T cells	20223979	Half a century ago, thalidomide was widely prescribed to pregnant women as a sedative but was found to be teratogenic, causing multiple birth defects. Cereblon (CRBN) was identified as a thalidomide-binding protein. Thalidomide initiates its teratogenic effects by binding to CRBN and inhibiting the associated ubiquitin ligase activity.			Thalidomide interacts directly with CRBN and indirectly with DDB1 through its interaction with CRBN. Thalidomide inhibits E3 function of the CRBN-containing complex by directly binding to CRBN. Using ubiquination activity experiments in HEK293 cells, it was shown that thalidomide inhibits the activity of the CRBN-DDB1-CUL4A-RBX1 E3 ubiquitin ligase (PMID: 20223979)	[CRBN; CRBN-DDB1-CUL4A-RBX1 E3 ubiquitin ligase; 6875; thalidomide; inhibits; complex activity; 20223979]	Q96SW2;Q13619;Q16531;P62877	CRBN;CUL4A;DDB1;RBX1	;;XAP1;RNF75,ROC1	Protein cereblon;Cullin-4A;DNA damage-binding protein 1;E3 ubiquitin-protein ligase RBX1	;CUL-4A;DDBa;Rbx1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	thalidomide;lenalidomide;pomalidomide	607417;619426	;;;	MI:0007:anti tag coimmunoprecipitation	exp;pred;exp	20223979;20223979;20223979	GO:0000151;GO:0048731;GO:0061630	ubiquitin ligase complex;system development;ubiquitin protein ligase activity	cellular_component;biological_process;molecular_function								
6881	EXT1-EXT2 complex		Human	BHK cells. Human genes were expressed in hamster cells.	10639137	EXT1 and EXT2 possess GlcA-T and GlcNAc-T activities in vitro. Compared to ETX1 or EXT2 homodimers, the EXT1-EXT2 complex possesses enhanced glycosyltransferase activity.		Inherited mutations in either of the two EXT genes can result in hereditary multiple exostoses.			Q16394;Q93063	EXT1;EXT2	;	Exostosin-1;Exostosin-2	;	Homo sapiens (Human);Homo sapiens (Human)		133700;215300;133701;616682	;	MI:0007:anti tag coimmunoprecipitation	exp;exp	10639137;10639137	GO:0005794;GO:0015012	Golgi apparatus;heparan sulfate proteoglycan biosynthetic process	cellular_component;biological_process								
6884	Fanconi anemia FAAP100 complex		Human	HeLa cells	17396147						Q0VG06;Q9BTP7;O15360;Q8NB91;Q00597;Q9HB96;Q9NPI8;O15287;Q9NW38;Q8IYD8	FAAP100;FAAP24;FANCA;FANCB;FANCC;FANCE;FANCF;FANCG;FANCL;FANCM	C17orf70;C19orf40;FAA,FACA,FANCH;;FAC,FACC;FACE;;XRCC9;PHF9;KIAA1596	Fanconi anemia core complex-associated protein 100;Fanconi anemia core complex-associated protein 24;Fanconi anemia group A protein;Fanconi anemia group B protein;Fanconi anemia group C protein;Fanconi anemia group E protein;Fanconi anemia group F protein;Fanconi anemia group G protein;E3 ubiquitin-protein ligase FANCL;Fanconi anemia group M protein	;;Protein FACA;Protein FACB;Protein FACC;Protein FACE;Protein FACF;Protein FACG;FAAP43;Protein FACM	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		227650;300514;227645;600901;603467;614082;614083;618086;618096	;;;;;;;;;	MI:0019:coimmunoprecipitation;MI:0071:molecular sieving	exp;exp;lit	17396147;17396147;17396147	GO:0005634;GO:0006513;GO:0006974	nucleus;protein monoubiquitination;DNA damage response	cellular_component;biological_process;biological_process								
6885	L-B-P100 subcomplex	Fanconi anemia subcomplex	Human	HeLa cells	17396147	L-B-P100 subcomplex is part of the Fanconi anemia core complex. According to a model, the L-B-P100 complex is normally present in the cytosol, and moves to the nucleus when it is associated with FANCA and FANCM.					Q0VG06;Q8NB91;Q9NW38	FAAP100;FANCB;FANCL	C17orf70;;PHF9	Fanconi anemia core complex-associated protein 100;Fanconi anemia group B protein;E3 ubiquitin-protein ligase FANCL	;Protein FACB;FAAP43	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		300514;614083	;;	MI:0019:coimmunoprecipitation;MI:0071:molecular sieving	exp;exp	17396147;17396147	GO:0005634;GO:0005737	nucleus;cytoplasm	cellular_component;cellular_component								
6886	AUP1-OS9-SEL1L-UBC6e-UBXD8 complex	AUP1-OS9-SEL1L-UBE2J1-FAF2 complex	Human	HeLa cells	18711132						Q9Y679;Q96CS3;Q13438;Q9UBV2;Q9Y385	AUP1;FAF2;OS9;SEL1L;UBE2J1	;ETEA,KIAA0887,UBXD8,UBXN3B;;TSA305;NCUBE1	Lipid droplet-regulating VLDL assembly factor AUP1;FAS-associated factor 2;Protein OS-9;Protein sel-1 homolog 1;Ubiquitin-conjugating enzyme E2 J1	;;Amplified in osteosarcoma 9; ;Sel-1L;NCUBE1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;;;	MI:0007:anti tag coimmunoprecipitation	exp;exp;exp	18711132;18711132;18711132	GO:0005789;GO:0030970;GO:0036503	endoplasmic reticulum membrane;retrograde protein transport, ER to cytosol;ERAD pathway	cellular_component;biological_process;biological_process								
6888	v-ATPase-Ragulator-AXIN/LKB1-AMPK complex		Human	HEK293 cells	25002183	v-ATPase-Ragulator complex is an initiating sensor for energy stress and meanwhile serves as an endosomal docking site for LKB1-mediated AMPK activation by forming the v-ATPase-Ragulator-AXIN/LKB1-AMPK complex, thereby providing a switch between catabolism and anabolism.	Since the authors did not specify AMPK, we used isoforms Prkaa1, Prkab1 and Prkag1.				P27449;P61421;P38606;P21281;O15169;Q6IAA8;Q9Y2Q5;Q9UHA4;Q0VGL1;O43504;Q13131;Q9Y478;P54619;Q15831	ATP6V0C;ATP6V0D1;ATP6V1A;ATP6V1B2;AXIN1;LAMTOR1;LAMTOR2;LAMTOR3;LAMTOR4;LAMTOR5;PRKAA1;PRKAB1;PRKAG1;STK11	ATP6C,ATP6L,ATPL;ATP6D,VPATPD;ATP6A1,ATP6V1A1,VPP2;ATP6B2,VPP3;AXIN;C11orf59,PDRO;MAPBPIP,ROBLD3;MAP2K1IP1,MAPKSP1;C7orf59;HBXIP,XIP;AMPK1;AMPK;;LKB1,PJS	V-type proton ATPase 16 kDa proteolipid subunit c;V-type proton ATPase subunit d 1;V-type proton ATPase catalytic subunit A;V-type proton ATPase subunit B, brain isoform;Axin-1;Ragulator complex protein LAMTOR1;Ragulator complex protein LAMTOR2;Ragulator complex protein LAMTOR3;Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR5;5'-AMP-activated protein kinase catalytic subunit alpha-1;5'-AMP-activated protein kinase subunit beta-1;5'-AMP-activated protein kinase subunit gamma-1;Serine/threonine-protein kinase STK11	;;;;hAxin;;Late endosomal/lysosomal Mp1-interacting protein; Roadblock domain-containing protein 3; p14; ;Mp1;;;AMPK alpha-1 chain;AMPK beta-1 chain;AMPK gamma-1 chain;Serine/threonine-protein kinase LKB1;Renal carcinoma antigen NY-REN-19	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	cepharanthine	620465;617403;618012;124480;616455;114550;607864;620558;610798;175200;273300	;;;;;;;;;;;;;	MI:0019:coimmunoprecipitation;MI:0416:fluorescence microscopy	exp;exp	25002183;25002183	GO:0005768;GO:0097009	endosome;energy homeostasis	cellular_component;biological_process								
6889	TBC1D7-TSC1-TSC2 complex	TSC complex; Rhebulator complex; TSC-TBC complex	Human	HeLa cells	24529379	Insulin activates mTORC1 by inducing dissociation of the TSC complex from the lysosome. Insulin and amino acids independently regulate localization of the TSC complex and mTORC1 to the lysosome and Rheb.					Q9P0N9;Q92574;P49815	TBC1D7;TSC1;TSC2	TBC7;KIAA0243,TSC;TSC4	TBC1 domain family member 7;Hamartin;Tuberin	;Tuberous sclerosis 1 protein; ;Tuberous sclerosis 2 protein; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		248000;191100;606690;607341;606690;607341;613254	;;	MI:0019:coimmunoprecipitation	exp;exp;exp;exp;exp	24529379;24529379;24529379;24529379;24529379	GO:0005764;GO:0008286;GO:0009594;GO:0043491;GO:1904263	lysosome;insulin receptor signaling pathway;detection of nutrient;phosphatidylinositol 3-kinase/protein kinase B signal transduction;positive regulation of TORC1 signaling	cellular_component;biological_process;biological_process;biological_process;biological_process								
6890	Phosphatidylinositol 4-kinase complex	PI4K complex	Human	HEK 293T cells	26571211		The phosphatidylinositol 4-kinase complex is composed of PI4KA, EFR3 (EFR3A or EFR3B), TTC7 (TTC7A or TTC7B) and FAM126 (FAM126A or FAM126B).	Hypomyelination and congenital cataract (HCC) is caused by mutations in FAM126A.			Q8IYD1;Q9BYI3;P42356;Q86TV6	GSPT2;HYCC1;PI4KA;TTC7B	ERF3B;DRCTNNB1A,FAM126A;PIK4,PIK4CA;TTC7L1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B;Hyccin;Phosphatidylinositol 4-kinase alpha;Tetratricopeptide repeat protein 7B	Eukaryotic peptide chain release factor subunit 3b;;PI4-kinase alpha;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		610532;616531;619621;619708	;;;	MI:0007:anti tag coimmunoprecipitation;MI:0040:electron microscopy	exp;exp;pred	26571211;26571211;26571211	GO:0005886;GO:0006661;GO:0042552	plasma membrane;phosphatidylinositol biosynthetic process;myelination	cellular_component;biological_process;biological_process								
6891	HUSH complex	Human silencing hub complex	Human	KBM7 cells	26022416	The HUSH complex mediates epigenetic regulation of both endogenous and viral genes at heterochromatic loci marked by H3K9me3.					Q99549;Q8NEY8;Q9UK61	MPHOSPH8;PPHLN1;TASOR	MPP8;;C3orf63,FAM208A,KIAA1105	M-phase phosphoprotein 8;Periphilin-1;Protein TASOR	Twa3;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;	MI:0019:coimmunoprecipitation	exp;exp;exp	26022416;26022416;26022416	GO:0003682;GO:0005634;GO:0010629	chromatin binding;nucleus;negative regulation of gene expression	molecular_function;cellular_component;biological_process								
6893	Gamma-tubulin complex		Human	HEK 293 cells, U2OS cells	11694571	The gamma-tubulin complex is present in the cytoplasm and at the centrosome and is thought to be active for nucleation only at the centrosome in vivo. The function of the cytoplasmic gamma-tubulin complex is not known.	The antibody used to identify tubulin gamma is TUBG1-specific.				P23258;Q9BSJ2;Q96CW5;Q9UGJ1;Q96RT8;Q96RT7	TUBG1;TUBGCP2;TUBGCP3;TUBGCP4;TUBGCP5;TUBGCP6	TUBG;GCP2;GCP3;76P,GCP4;GCP5,KIAA1899;GCP6,KIAA1669	Tubulin gamma-1 chain;Gamma-tubulin complex component 2;Gamma-tubulin complex component 3;Gamma-tubulin complex component 4;Gamma-tubulin complex component 5;Gamma-tubulin complex component 6	GCP-1;GCP-2;GCP-3;;GCP-5;GCP-6	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		615412;618737;616335;251270	;;;;;	MI:0019:coimmunoprecipitation;MI:0029:cosedimentation through density gradient;MI:0096:pull down	exp;exp;lit	11694571;11694571;32747192	GO:0005813;GO:0007020;GO:0060271	centrosome;microtubule nucleation;cilium assembly	cellular_component;biological_process;biological_process		7	Cilium assembly	3	Organelle organization	GO:0060271	cilium assembly	biological_process
6895	MMXD complex	MMS19-MIP18-XPD complex	Human	HEK293 cells	20797633			Findings suggest that abnormalities in the function of the MMXD complex due to the XPD mutations lead to aneuploidy and/or cell death, contributing at least partly to the phenotypes such as a high incidence of skin tumors in XP6BE and XPCS-2 patients.			O76071;Q9Y3D0;P18074;Q96T76;P05141	CIAO1;CIAO2B;ERCC2;MMS19;SLC25A5	CIA1,WDR39;CIAB,FAM96B,MIP18;XPD,XPDC;MMS19L;AAC2,ANT2	Probable cytosolic iron-sulfur protein assembly protein CIAO1;Cytosolic iron-sulfur assembly component 2B;General transcription and DNA repair factor IIH helicase subunit XPD;MMS19 nucleotide excision repair protein homolog;ADP/ATP translocase 2	;;DNA repair protein complementing XP-D cells; Xeroderma pigmentosum group D-complementing protein; CXPD; DNA excision repair protein ERCC-2; ;;ANT 2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		278730;601675;610756	;;;;	MI:0007:anti tag coimmunoprecipitation;MI:0071:molecular sieving	exp;exp;exp	20797633;20797633;20797633	GO:0007059;GO:0051225;GO:0072686	chromosome segregation;spindle assembly;mitotic spindle	biological_process;biological_process;cellular_component								
6896	MMS19 complex		Human	HEK 293T cells	22678361						O76071;Q9Y3D0;Q9H6Q4;Q96T76	CIAO1;CIAO2B;CIAO3;MMS19	CIA1,WDR39;CIAB,FAM96B,MIP18;NARFL,PRN;MMS19L	Probable cytosolic iron-sulfur protein assembly protein CIAO1;Cytosolic iron-sulfur assembly component 2B;Cytosolic iron-sulfur assembly component 3;MMS19 nucleotide excision repair protein homolog	;;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;;	MI:0007:anti tag coimmunoprecipitation;MI:0071:molecular sieving	exp;pred;pred	22678361;22678361;22678361	GO:0005737;GO:0006260;GO:0006281	cytoplasm;DNA replication;DNA repair	cellular_component;biological_process;biological_process								
6900	Ubiquitin E3 ligase (CUL1, FBXO10, SKP1)		Human	HEK 293T cells	23431138	FBXO10 is a component of a ubiquitin ligase that can target BCL2 protein for degradation.					Q13616;Q9UK96;P63208	CUL1;FBXO10;SKP1	;FBX10,PRMT11;EMC19,OCP2,SKP1A,TCEB1L	Cullin-1;F-box only protein 10;S-phase kinase-associated protein 1	CUL-1;;OCP-2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;	MI:0007:anti tag coimmunoprecipitation	exp;exp	23431138;23431138	GO:0006511;GO:0043065	ubiquitin-dependent protein catabolic process;positive regulation of apoptotic process	biological_process;biological_process								
6901	Ubiquitin E3 ligase (CUL1, FBXO6, RBX1, SKP1)		Human	COS7 cells	18203720	A family of ubiquitin ligase subunits  (FBXO2, FBXO6, FBXO17, FBXO27, and FBXO44) target glycoproteins through their attached glycans. Each family member has differing specificity for glycosylated substrates.					Q13616;Q9NRD1;P62877;P63208	CUL1;FBXO6;RBX1;SKP1	;FBG2,FBS2,FBX6;RNF75,ROC1;EMC19,OCP2,SKP1A,TCEB1L	Cullin-1;F-box only protein 6;E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1	CUL-1;;Rbx1;OCP-2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;;	MI:0007:anti tag coimmunoprecipitation	exp;exp;exp	18203720;18203720;18203720	GO:0006511;GO:0006516;GO:0036503	ubiquitin-dependent protein catabolic process;glycoprotein catabolic process;ERAD pathway	biological_process;biological_process;biological_process								
6902	Ubiquitin E3 ligase (CUL1, FBXO17, RBX1, SKP1)		Human	COS7 cells	18203720	A family of ubiquitin ligase subunits  (FBXO2, FBXO6, FBXO17, FBXO27, and FBXO44) target glycoproteins through their attached glycans. Each family member has differing specificity for glycosylated substrates.					Q13616;Q96EF6;P62877;P63208	CUL1;FBXO17;RBX1;SKP1	;FBG4,FBX17,FBX26,FBXO26;RNF75,ROC1;EMC19,OCP2,SKP1A,TCEB1L	Cullin-1;F-box only protein 17;E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1	CUL-1;;Rbx1;OCP-2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;;	MI:0007:anti tag coimmunoprecipitation	exp;exp;exp	18203720;18203720;18203720	GO:0006511;GO:0006516;GO:0036503	ubiquitin-dependent protein catabolic process;glycoprotein catabolic process;ERAD pathway	biological_process;biological_process;biological_process								
6903	Ubiquitin E3 ligase (CUL1, FBXO27, RBX1, SKP1)		Human	COS7 cells	18203720	A family of ubiquitin ligase subunits  (FBXO2, FBXO6, FBXO17, FBXO27, and FBXO44) target glycoproteins through their attached glycans. Each family member has differing specificity for glycosylated substrates.					Q13616;Q8NI29;P62877;P63208	CUL1;FBXO27;RBX1;SKP1	;FBG5,FBX27;RNF75,ROC1;EMC19,OCP2,SKP1A,TCEB1L	Cullin-1;F-box only protein 27;E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1	CUL-1;;Rbx1;OCP-2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;;	MI:0007:anti tag coimmunoprecipitation	exp;exp;exp	18203720;18203720;18203720	GO:0006511;GO:0006516;GO:0036503	ubiquitin-dependent protein catabolic process;glycoprotein catabolic process;ERAD pathway	biological_process;biological_process;biological_process								
6904	Ubiquitin E3 ligase (CUL1, FBXO44, RBX1, SKP1)		Human	COS7 cells	18203720	A family of ubiquitin ligase subunits  (FBXO2, FBXO6, FBXO17, FBXO27, and FBXO44) target glycoproteins through their attached glycans. Each family member has differing specificity for glycosylated substrates. In contrast to other family members, FBXO44 showed no significant binding to any of the 200 glycans tested.					Q13616;Q9H4M3;P62877;P63208	CUL1;FBXO44;RBX1;SKP1	;FBG3,FBX30,FBX44,FBX6A,FBXO6A;RNF75,ROC1;EMC19,OCP2,SKP1A,TCEB1L	Cullin-1;F-box only protein 44;E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1	CUL-1;;Rbx1;OCP-2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)			;;;	MI:0007:anti tag coimmunoprecipitation	pred	18203720	GO:0006511	ubiquitin-dependent protein catabolic process	biological_process								
6905	PELI1-IRAK4-IRAK1-TRAF6 complex, IL-1-induced		Human	HEK293 cells	12496252	The PELI1-IRAK-IRAK4-TRAF6 signaling complex is likely to be intermediate, located between the IL-1 receptor complex and the TAK1 complex in the IL-1 pathway.					P51617;Q9NWZ3;Q96FA3;Q9Y4K3	IRAK1;IRAK4;PELI1;TRAF6	IRAK;;PRISM;RNF85	Interleukin-1 receptor-associated kinase 1;Interleukin-1 receptor-associated kinase 4;E3 ubiquitin-protein ligase pellino homolog 1;TNF receptor-associated factor 6	IRAK-1;;;Interleukin-1 signal transducer; RING finger protein 85; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		607676	;;;	MI:0019:coimmunoprecipitation	exp	12496252	GO:0070498	interleukin-1-mediated signaling pathway	biological_process								
6906	FBXW7-CDX2-GSK3B complex		Human	HCT 116 cells	27470268	Fbw7 targets CDX2 for ubiquitin-mediated proteasome degradation in a GSK3-beta-dependent manner. GSK3-beta, a serine/threonine kinase, may phosphorylate CDX2 in its CPD (Cdc4-phosphodegron) motifs leading to its degradation by Fbw7.		The deregulated expression of CDX2 is often observed in colon cancers.			Q99626;Q969H0;P49841	CDX2;FBXW7;GSK3B	CDX3;FBW7,FBX30,SEL10;	Homeobox protein CDX-2;F-box/WD repeat-containing protein 7;Glycogen synthase kinase-3 beta	;hCdc4;GSK-3 beta	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	lithium carbonate;lithium citrate	620012	;;	MI:0019:coimmunoprecipitation	exp;lit	27470268;27470268	GO:0006511;GO:0031146	ubiquitin-dependent protein catabolic process;SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	biological_process;biological_process								
6907	CTNNB1-FERMT2-TCF7L2 complex	Kindlin 2–b-catenin–TCF4 tripartite complex	Human	HEK293T cells	22699938						P35222;Q96AC1;Q9NQB0	CTNNB1;FERMT2;TCF7L2	CTNNB;KIND2,MIG2,PLEKHC1;TCF4	Catenin beta-1;Fermitin family homolog 2;Transcription factor 7-like 2	Beta-catenin; ;;TCF-4	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		114500;132600;155255;156240;167000;615075;617572;125853	;;	MI:0007:anti tag coimmunoprecipitation	exp;exp	22699938;22699938	GO:0005634;GO:0030177	nucleus;positive regulation of Wnt signaling pathway	cellular_component;biological_process								
6908	CTNNB1-FERMT2-YBX1 complex		Human	U-87 MG cells	27713156			High Kindlin-2 (FERMT2) expression is correlated with high tumor grade and poor prognosis in glioma patients.			P35222;Q96AC1;P67809	CTNNB1;FERMT2;YBX1	CTNNB;KIND2,MIG2,PLEKHC1;NSEP1,YB1	Catenin beta-1;Fermitin family homolog 2;Y-box-binding protein 1	Beta-catenin; ;;CBF-A	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)		114500;132600;155255;156240;167000;615075;617572	;;	MI:0019:coimmunoprecipitation;MI:0663:confocal microscopy	exp;exp;exp;exp	27713156;27713156;27713156;27713156	GO:0005634;GO:0005737;GO:0006355;GO:1901186	nucleus;cytoplasm;regulation of DNA-templated transcription;positive regulation of ERBB signaling pathway	cellular_component;cellular_component;biological_process;biological_process								
6909	FGF1-FGFR1-ITGB3 complex		Human	HUVEC cells	20422052	Results suggest that the simultaneous binding of FGFR1 and Integrin beta-3 to FGF1 occurs during FGF signaling.					P05230;P11362;P05106	FGF1;FGFR1;ITGB3	FGFA;BFGFR,CEK,FGFBR,FLG,FLT2,HBGFR;GP3A	Fibroblast growth factor 1;Fibroblast growth factor receptor 1;Integrin beta-3	;;GPIIIa	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	pazopanib;nintedanib;lenvatinib;erdafitinib;pemigatinib;infigratinib;futibatinib;eptifibatide;tirofiban;abciximab	101600;123150;147950;166250;190440;613001;615465;619267;619271	;;	MI:0019:coimmunoprecipitation	exp;exp	20422052;20422052	GO:0008543;GO:0070374	fibroblast growth factor receptor signaling pathway;positive regulation of ERK1 and ERK2 cascade	biological_process;biological_process								
6910	EED-EZH2-PHF19 complex	EED-EZH2-hPCL3 complex	Human	HEK-293T cells, HeLa cells, U2OS cells	21143197	hPCL3 (PHF19) encodes a long isoform, hPCL3L and a smaller isoform, hPCL3S. Both isoforms are widely co-expressed at high levels in medulloblastoma.		Both isoforms of hPCL3 (PHF19) are widely co-expressed at high levels in medulloblastoma.			O75530;Q15910;Q5T6S3	EED;EZH2;PHF19	;KMT6;PCL3	Polycomb protein EED;Histone-lysine N-methyltransferase EZH2;PHD finger protein 19	hEED;Enhancer of zeste homolog 2; ENX-1; Lysine N-methyltransferase 6; ;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	tazemetostat	617561;277590	;;	MI:0007:anti tag coimmunoprecipitation;MI:0071:molecular sieving	exp	21143197	GO:0005634	nucleus	cellular_component								
